Publisher,Year_of_Release,Name,Genre,Global_Sales,Critic_Score,User_Score
Namco Bandai Games,1984.0,Xevious,Shooter,1.52,,
Namco Bandai Games,1984.0,Mappy,Platform,0.69,,
Namco Bandai Games,1984.0,Pac-Man,Puzzle,1.22,,
Namco Bandai Games,1985.0,Dig Dug,Puzzle,0.41,,
Namco Bandai Games,1985.0,Tag Team Match M.U.S.C.L.E.,Fighting,1.05,,
Namco Bandai Games,1986.0,World Class Track Meet,Sports,3.08,,
Namco Bandai Games,1986.0,Pro Yakyuu Family Stadium,Sports,2.2,,
Namco Bandai Games,1987.0,Gegege no Kitarou 2: Youkai Gundan no Chousen,Role-Playing,1.25,,
Namco Bandai Games,1987.0,Pro Yakyuu Family Stadium '87,Sports,1.42,,
Namco Bandai Games,1988.0,Dragon Ball: Daimaou Fukkatsu,Role-Playing,1.25,,
Namco Bandai Games,1988.0,Pro Yakyuu Family Stadium '88,Sports,1.18,,
Namco Bandai Games,1989.0,Famicom Jump: Eiyuu Retsuden,Role-Playing,1.1,,
Namco Bandai Games,1990.0,Extra Bases,Sports,0.33,,
Namco Bandai Games,1990.0,Famista '91,Sports,0.3,,
Namco Bandai Games,1991.0,Famista '92,Sports,0.28,,
Namco Bandai Games,1991.0,Kidou Senshi Gundam F91: Formula Senki 0122,Strategy,0.33,,
Namco Bandai Games,1991.0,Super Wagyan Land,Action,0.42,,
Namco Bandai Games,1992.0,Super Batter Up,Sports,0.46,,
Namco Bandai Games,1992.0,Dragon Ball Z: Chou Saiya Densetsu,Role-Playing,0.58,,
Namco Bandai Games,1993.0,Yuu Yuu Hakusho,Fighting,0.36,,
Namco Bandai Games,1993.0,Dragon Ball Z: Ultime Menace,Fighting,0.73,,
Namco Bandai Games,1993.0,J-League Soccer: Prime Goal,Sports,0.69,,
Namco Bandai Games,1993.0,Dragon Ball Z: La Legende Saien,Fighting,1.2,,
Namco Bandai Games,1993.0,Dragon Ball Z,Fighting,1.45,,
Namco Bandai Games,1993.0,Crayon Shin-Chan: Arashi o Yobu Enji,Platform,0.46,,
Namco Bandai Games,1993.0,Bishoujo Senshi Sailormoon R,Fighting,0.27,,
Namco Bandai Games,1993.0,Sailor Moon,Action,0.22,,
Namco Bandai Games,1994.0,Slam Dunk: Yonkyo Taiketsu!!,Sports,0.27,,
Namco Bandai Games,1994.0,Kidou Senshi V Gundam,Action,0.03,,
Namco Bandai Games,1994.0,J-League Soccer: Prime Goal 2,Sports,0.53,,
Namco Bandai Games,1994.0,Yuu Yuu Hakusho 2: Kakutou no Sho,Fighting,0.31,,
Namco Bandai Games,1994.0,Super Famista 3,Sports,0.39,,
Namco Bandai Games,1994.0,SD Gundam GX,Strategy,0.19,,
Namco Bandai Games,1995.0,Dragon Ball Z Hyper Dimension,Fighting,0.21,,
Namco Bandai Games,1995.0,Tales of Phantasia,Role-Playing,0.4,,
Namco Bandai Games,1995.0,Dragon Ball Z: Shin Butouden,Fighting,0.09,,
Namco Bandai Games,1995.0,Mobile Suit Gundam,Action,0.41,,
Namco Bandai Games,1995.0,Super Famista 4,Sports,0.42,,
Namco Bandai Games,1995.0,Dragon Ball Z Super Gokuden: Kakusei-Hen,Role-Playing,0.11,,
Namco Bandai Games,1995.0,Captain Tsubasa J: The Way to World Youth,Sports,0.03,,
Namco Bandai Games,1995.0,Mobile Suit Gundam,Action,0.45,,
Namco Bandai Games,1995.0,Dragon Ball Z: Idainaru Dragon Ball Densetsu,Fighting,0.15,,
Namco Bandai Games,1995.0,SD Gundam GNext,Strategy,0.2,,
Namco Bandai Games,1995.0,Slam Dunk SD Heat Up!!,Sports,0.05,,
Namco Bandai Games,1996.0,Mobile Suit Gundam version 2.0,Action,0.38,,
Namco Bandai Games,1996.0,Mobile Suit Gundam Side Story I: Senritsu no Blue,Shooter,0.28,,
Namco Bandai Games,1996.0,World Stadium EX,Sports,0.44,,
Namco Bandai Games,1996.0,Mobile Suit Gundam Side Story II: Aoi o Uketsugu Mono,Shooter,0.2,,
Namco Bandai Games,1996.0,Tamagotchi,Simulation,1.45,,
Namco Bandai Games,1996.0,Super Famista 5,Sports,0.5,,
Namco Bandai Games,1996.0,SD Gundam: Over Galaxian,Shooter,0.05,,
Namco Bandai Games,1996.0,Dragon Ball Z: Idainaru Dragon Ball Densetsu,Fighting,0.19,,
Namco Bandai Games,1997.0,Mobile Suit Gundam: Perfect One Year War,Strategy,0.15,,
Namco Bandai Games,1997.0,Mobile Suit Z-Gundam,Action,0.36,,
Namco Bandai Games,1997.0,Gundam: The Battle Master,Fighting,0.14,,
