Date,Open,High,Low,Close,Adj Close,Volume
2008-02-01,2.900000,3.020000,2.000000,2.660000,2.620469,4598100
2008-03-01,2.650000,2.850000,2.500000,2.620000,2.581063,2136000
2008-04-01,2.750000,3.150000,2.650000,3.000000,2.955416,10951200
2008-05-01,3.030000,3.150000,2.400000,2.680000,2.640171,4527200
2008-06-01,2.630000,2.720000,2.200000,2.200000,2.167305,4966500
2008-07-01,2.180000,2.450000,2.050000,2.300000,2.265819,6344300
2008-08-01,2.450000,2.950000,2.300000,2.360000,2.324927,2582300
2008-09-01,2.280000,2.420000,1.900000,2.250000,2.216562,7118700
2008-10-01,2.140000,2.350000,1.550000,1.850000,1.822506,9162100
2008-11-01,1.800000,2.540000,1.800000,2.340000,2.305224,6115200
2008-12-01,2.320000,3.040000,2.200000,2.890000,2.847050,7671600
2009-01-01,3.000000,3.220000,2.440000,3.070000,3.024375,6462200
2009-02-01,2.950000,3.210000,2.060000,2.060000,2.029385,3988100
2009-03-01,2.170000,2.550000,2.030000,2.230000,2.196859,5831300
2009-04-01,2.150000,2.490000,2.120000,2.340000,2.305224,2723700
2009-05-01,2.340000,2.970000,2.250000,2.810000,2.768239,2667400
2009-06-01,2.800000,3.300000,2.750000,3.160000,3.113038,3087400
2009-07-01,3.140000,3.420000,3.050000,3.220000,3.172146,2402300
2009-08-01,3.300000,3.350000,3.010000,3.220000,3.172146,2376100
2009-09-01,3.270000,3.430000,3.140000,3.240000,3.191849,2126800
2009-10-01,3.190000,3.600000,3.050000,3.390000,3.339620,2107200
2009-11-01,3.420000,3.530000,3.000000,3.200000,3.152443,1733900
2009-12-01,3.220000,3.340000,3.010000,3.050000,3.004673,2167500
2010-01-01,3.030000,3.180000,2.760000,2.870000,2.827348,2116300
2010-02-01,2.810000,3.180000,2.690000,3.070000,3.024375,2516600
2010-03-01,3.040000,3.220000,2.960000,2.990000,2.945564,2192700
2010-04-01,2.990000,3.440000,2.990000,3.250000,3.201700,1895000
2010-05-01,3.220000,3.260000,2.910000,3.080000,3.034227,2389600
2010-06-01,3.180000,3.750000,3.100000,3.550000,3.497242,1873900
2010-07-01,3.650000,3.760000,3.500000,3.680000,3.625310,2026700
2010-08-01,3.810000,4.010000,3.640000,3.680000,3.625310,1836700
2010-09-01,3.610000,4.030000,3.540000,3.980000,3.920851,1766600
2010-10-01,3.850000,4.090000,3.770000,4.050000,4.050000,12395600
2010-11-01,3.950000,4.290000,3.900000,4.160000,4.160000,12070100
2010-12-01,4.330000,4.800000,4.330000,4.680000,4.680000,423800
2011-01-01,4.720000,5.350000,4.720000,4.980000,4.980000,122100
2011-02-01,5.070000,5.660000,5.070000,5.610000,5.610000,517800
2011-03-01,5.800000,5.820000,3.910000,4.370000,4.370000,837100
2011-04-01,4.340000,4.340000,4.030000,4.340000,4.340000,351200
2011-05-01,4.490000,4.830000,4.370000,4.770000,4.770000,87800
2011-06-01,4.950000,5.130000,4.750000,4.800000,4.800000,128500
2011-07-01,4.800000,5.500000,4.800000,5.310000,5.310000,5522800
2011-08-01,5.500000,5.820000,4.960000,5.740000,5.740000,299000
2011-09-01,5.630000,6.100000,5.410000,5.800000,5.800000,199600
2011-10-01,5.970000,6.000000,5.460000,5.600000,5.600000,369300
2011-11-01,5.340000,5.520000,4.730000,5.100000,5.100000,445700
2011-12-01,5.040000,5.460000,4.880000,5.450000,5.450000,758600
2012-01-01,5.520000,5.720000,5.030000,5.450000,5.450000,2988500
2012-02-01,5.350000,5.350000,4.580000,4.760000,4.760000,265400
2012-03-01,4.730000,5.270000,4.640000,5.040000,5.040000,370400
2012-04-01,5.260000,5.390000,5.060000,5.170000,5.170000,645500
2012-05-01,5.200000,5.260000,4.200000,4.760000,4.760000,727400
2012-06-01,4.630000,5.130000,4.600000,5.110000,5.110000,585100
2012-07-01,5.170000,5.430000,5.120000,5.300000,5.300000,466400
2012-08-01,5.110000,5.250000,4.890000,5.170000,5.170000,583100
2012-09-01,5.130000,5.200000,4.650000,4.720000,4.720000,600900
2012-10-01,4.610000,4.780000,4.340000,4.650000,4.650000,595400
2012-11-01,4.730000,4.840000,4.040000,4.150000,4.150000,1027700
2012-12-01,4.160000,4.500000,4.090000,4.180000,4.180000,1103600
2013-01-01,4.170000,4.500000,4.150000,4.440000,4.440000,1321800
2013-02-01,4.340000,4.640000,3.750000,4.640000,4.640000,531300
2013-03-01,4.810000,5.180000,4.580000,5.020000,5.020000,523900
2013-04-01,4.880000,6.530000,4.870000,6.500000,6.500000,1255600
2013-05-01,6.540000,7.070000,5.770000,5.940000,5.940000,707600
2013-06-01,6.150000,6.390000,5.620000,6.260000,6.260000,472600
2013-07-01,6.540000,6.680000,5.720000,5.860000,5.860000,373700
2013-08-01,5.920000,6.150000,5.660000,5.890000,5.890000,330400
2013-09-01,6.050000,7.260000,5.870000,7.220000,7.220000,359700
2013-10-01,7.000000,7.100000,6.360000,6.410000,6.410000,993600
2013-11-01,6.360000,6.700000,6.360000,6.700000,6.700000,450600
2013-12-01,6.900000,6.920000,6.290000,6.370000,6.370000,550000
2014-01-01,6.350000,6.570000,5.820000,5.900000,5.900000,608700
2014-02-01,5.810000,5.990000,5.380000,5.680000,5.680000,565200
2014-03-01,5.830000,5.930000,5.310000,5.560000,5.560000,592100
2014-04-01,5.370000,5.620000,4.950000,4.980000,4.980000,1180900
2014-05-01,5.010000,5.020000,4.180000,4.760000,4.760000,1046900
2014-06-01,4.890000,5.100000,4.730000,4.920000,4.920000,1811400
2014-07-01,4.940000,5.100000,4.760000,4.910000,4.910000,533100
2014-08-01,5.060000,5.060000,4.680000,4.840000,4.840000,1525000
2014-09-01,4.160000,4.180000,3.850000,4.010000,4.010000,1399500
2014-10-01,3.940000,3.940000,3.610000,3.740000,3.740000,627400
2014-11-01,3.810000,3.900000,3.470000,3.490000,3.490000,347200
2014-12-01,3.500000,3.500000,3.160000,3.180000,3.180000,1319100
2015-01-01,3.170000,3.370000,3.020000,3.260000,3.260000,1030000
2015-02-01,3.330000,3.850000,3.310000,3.830000,3.830000,237200
2015-03-01,3.860000,3.950000,3.680000,3.680000,3.680000,197600
2015-04-01,3.690000,3.840000,3.490000,3.490000,3.490000,52500
2015-05-01,3.470000,3.730000,3.430000,3.640000,3.640000,87300
2015-06-01,3.550000,3.610000,3.240000,3.270000,3.270000,97000
2015-07-01,3.240000,3.260000,3.010000,3.020000,3.020000,354700
2015-08-01,2.970000,2.970000,2.410000,2.600000,2.600000,434000
2015-09-01,2.500000,2.820000,2.370000,2.430000,2.430000,1148700
2015-10-01,2.550000,2.730000,2.430000,2.640000,2.640000,970600
2015-11-01,2.660000,2.790000,2.510000,2.740000,2.740000,1121200
2015-12-01,2.720000,2.770000,2.250000,2.330000,2.330000,840900
2016-01-01,2.260000,2.380000,2.180000,2.300000,2.300000,235200
2016-02-01,2.410000,2.730000,2.270000,2.600000,2.600000,264400
2016-03-01,2.580000,2.890000,2.580000,2.760000,2.760000,144300
2016-04-01,2.660000,2.930000,2.560000,2.680000,2.680000,144200
2016-05-01,2.810000,3.110000,2.650000,3.090000,3.090000,245800
2016-06-01,3.050000,3.110000,2.700000,2.720000,2.720000,174100
2016-07-01,2.650000,2.900000,2.620000,2.760000,2.760000,122800
2016-08-01,2.770000,3.490000,2.750000,3.400000,3.400000,178100
2016-09-01,3.430000,3.760000,3.350000,3.590000,3.590000,174600
2016-10-01,3.580000,3.760000,3.480000,3.720000,3.720000,90200
2016-11-01,3.640000,3.970000,3.590000,3.830000,3.830000,140300
2016-12-01,3.780000,3.960000,3.650000,3.720000,3.720000,123600
