Date,Open,High,Low,Close,Adj Close,Volume
2010-02-01,2.750000,2.950000,2.550000,2.570000,2.554185,11800
2010-03-01,2.570000,2.800000,2.390000,2.650000,2.633693,643600
2010-04-01,2.650000,2.980000,2.590000,2.590000,2.574062,159500
2010-05-01,2.590000,2.590000,1.830000,1.860000,1.848554,29200
2010-06-01,1.930000,1.940000,1.580000,1.580000,1.570277,13500
2010-07-01,1.560000,1.900000,1.560000,1.900000,1.888308,14700
2010-08-01,1.900000,2.020000,1.790000,1.800000,1.788923,2800
2010-09-01,1.800000,2.200000,1.800000,2.200000,2.186462,13900
2010-10-01,2.200000,2.600000,2.180000,2.560000,2.544246,15200
2010-11-01,2.560000,2.750000,1.950000,1.950000,1.938000,15500
2010-12-01,1.950000,2.150000,1.910000,2.110000,2.097015,148700
2011-01-01,2.160000,2.300000,2.060000,2.300000,2.285846,116600
2011-02-01,2.300000,2.410000,2.150000,2.150000,2.136769,2600
2011-03-01,2.150000,2.250000,2.000000,2.000000,1.987692,29600
2011-04-01,2.000000,2.050000,2.000000,2.020000,2.007569,22500
2011-05-01,2.050000,2.100000,1.750000,1.760000,1.749169,47400
2011-06-01,1.760000,2.150000,1.760000,1.980000,1.967815,31800
2011-07-01,1.920000,2.100000,1.590000,1.750000,1.739231,11900
2011-08-01,1.740000,1.740000,1.300000,1.300000,1.292000,3600
2011-09-01,1.300000,1.300000,0.990000,1.070000,1.063415,28300
2011-10-01,1.050000,1.310000,0.970000,1.290000,1.282062,114400
2011-11-01,1.290000,1.470000,1.160000,1.470000,1.460954,49000
2011-12-01,1.480000,1.490000,1.220000,1.260000,1.252246,17200
2012-01-01,1.340000,1.580000,1.300000,1.580000,1.570277,23900
2012-02-01,1.610000,1.740000,1.550000,1.700000,1.689539,6400
2012-03-01,1.610000,1.700000,1.500000,1.500000,1.490769,2400
2012-04-01,1.500000,1.500000,1.250000,1.300000,1.292000,5800
2012-05-01,1.300000,1.400000,1.130000,1.130000,1.123046,1500
2012-06-01,1.130000,1.500000,1.130000,1.500000,1.500000,100
2012-07-01,1.500000,1.500000,1.260000,1.330000,1.330000,2000
2012-08-01,1.330000,1.460000,1.330000,1.400000,1.400000,4300
2012-09-01,1.400000,1.800000,1.400000,1.720000,1.720000,11700
2012-10-01,1.590000,1.750000,1.570000,1.700000,1.700000,6900
2012-11-01,1.680000,2.020000,1.680000,2.000000,2.000000,13700
2012-12-01,2.000000,2.130000,1.900000,2.100000,2.100000,34100
2013-01-01,2.100000,2.100000,1.870000,1.900000,1.900000,8100
2013-02-01,1.910000,2.200000,1.910000,2.200000,2.200000,25000
2013-03-01,2.200000,2.380000,2.100000,2.100000,2.100000,18400
2013-04-01,2.100000,2.250000,1.940000,2.250000,2.250000,4400
2013-05-01,2.260000,2.630000,2.190000,2.630000,2.630000,11000
2013-06-01,2.630000,2.810000,2.550000,2.560000,2.560000,36100
2013-07-01,2.560000,3.140000,2.560000,3.100000,3.100000,23700
2013-08-01,3.020000,3.260000,3.000000,3.000000,3.000000,22700
2013-09-01,2.950000,3.240000,2.950000,3.140000,3.140000,16100
2013-10-01,3.090000,3.270000,2.260000,2.540000,2.540000,434500
2013-11-01,2.540000,2.730000,2.410000,2.610000,2.610000,159800
2013-12-01,2.610000,2.850000,2.500000,2.800000,2.800000,58600
2014-01-01,2.770000,2.970000,2.670000,2.730000,2.730000,171900
2014-02-01,2.730000,3.240000,2.660000,3.190000,3.190000,217500
2014-03-01,3.110000,3.670000,3.110000,3.500000,3.500000,134100
2014-04-01,3.500000,3.740000,3.330000,3.700000,3.700000,140300
2014-05-01,3.700000,3.990000,3.650000,3.940000,3.940000,228800
2014-06-01,3.950000,4.090000,3.580000,3.600000,3.600000,131400
2014-07-01,3.630000,3.790000,3.270000,3.300000,3.300000,128100
2014-08-01,3.240000,3.420000,2.910000,3.290000,3.290000,118400
2014-09-01,3.270000,3.500000,3.130000,3.260000,3.260000,64100
2014-10-01,3.230000,3.590000,2.850000,3.560000,3.560000,296200
2014-11-01,3.600000,3.710000,3.260000,3.530000,3.530000,144100
2014-12-01,3.530000,3.700000,3.400000,3.620000,3.620000,262300
2015-01-01,3.600000,4.000000,3.510000,3.970000,3.970000,100800
2015-02-01,3.930000,4.150000,3.640000,3.640000,3.640000,80300
2015-03-01,3.690000,3.750000,3.490000,3.610000,3.610000,167000
2015-04-01,3.620000,3.790000,3.590000,3.590000,3.590000,46200
2015-05-01,3.590000,3.790000,3.440000,3.540000,3.540000,97500
2015-06-01,3.600000,3.690000,3.460000,3.550000,3.550000,36700
2015-07-01,3.550000,3.900000,3.240000,3.850000,3.850000,52200
2015-08-01,3.900000,4.070000,3.620000,3.670000,3.670000,50200
2015-09-01,3.630000,4.100000,3.560000,4.020000,4.020000,60000
2015-10-01,4.150000,5.980000,4.060000,5.910000,5.910000,242700
2015-11-01,5.890000,6.000000,5.450000,5.500000,5.500000,109000
2015-12-01,5.720000,6.100000,5.690000,5.900000,5.900000,130600
2016-01-01,5.770000,5.780000,4.950000,5.450000,5.450000,134500
